passage_id,type,query,evidence,reason
akorda_007_p07,factoid,Қазақстан қандай жылға қарай көміртегі бейтараптығына қол жеткізу жөніндегі стратегияны қабылдады?,2060 жылға қарай,evidence_not_in_corpus_passage
akorda_007_p07,paraphrase,Парниктік газдарды шығару мен сіңіруді теңестіру мақсатына жету қай уақытқа жоспарланған?,2060 жылға қарай,evidence_not_in_corpus_passage
akorda_007_p07,low_overlap,Климатқа зиянды қалдықтарды барынша азайту бағдарламасы қай мерзімде толық жүзеге асуы тиіс?,2060 жылға қарай,evidence_not_in_corpus_passage
akorda_007_p08,factoid,Орталық Азия мен Кавказ үшін маңызды COP-29 конференциясы биыл қараша айында қай қалада өтеді?,Бакуде өтетін,evidence_not_in_corpus_passage
akorda_007_p08,paraphrase,Климатқа қатысты жаһандық деңгейдегі ірі жиын осы күзде қай мемлекеттің астанасында ұйымдастырылады?,Бакуде өтетін,evidence_not_in_corpus_passage
akorda_007_p08,low_overlap,Аймақтағы экологиялық проблемаларды талқылайтын халықаралық саммит қай шаһарда өтеді?,Бакуде өтетін,evidence_not_in_corpus_passage
akorda_007_p09,factoid,Теңіздің құрғап қалған табанына 2 миллион гектардан астам қандай ағаш отырғызылды?,сексеуіл отырғыздық,evidence_not_in_corpus_passage
akorda_007_p09,paraphrase,Шөлге айналған Аралдың түбіне жаппай қандай өсімдік егілді?,сексеуіл отырғыздық,evidence_not_in_corpus_passage
akorda_007_p09,low_overlap,Құм көшкінін тоқтату үшін теңіздің орнына қандай тамыры терең бұталар отырғызылды?,сексеуіл отырғыздық,evidence_not_in_corpus_passage
akorda_007_p12,factoid,Сөз соңында Президент қоршаған ортаға төнген қауіпке не тосқауыл бола алмайды деп айтты?,шекара тосқауыл бола алмайды,evidence_not_in_corpus_passage
akorda_007_p12,paraphrase,Экологиялық апаттар үшін жер бетінде қандай саяси сызықтар бөгет бола алмайды?,шекара тосқауыл бола алмайды,evidence_not_in_corpus_passage
akorda_007_p12,low_overlap,Табиғатқа төнетін қатерлердің мемлекеттердің бөлінісіне қарамастан ортақ екенін қандай сөзбен жеткізді?,шекара тосқауыл бола алмайды,evidence_not_in_corpus_passage
akorda_008_p02,factoid,Былтыр жас ғалымдарға берілетін гранттың көлемі қаншалықты көбейді?,бір жарым есеге көбейді,evidence_not_in_corpus_passage
akorda_008_p02,paraphrase,Мемлекет зерттеуші жастарды қаржыландыруды қанша есеге ұлғайтты?,бір жарым есеге көбейді,evidence_not_in_corpus_passage
akorda_008_p02,low_overlap,Жаңа жобалармен айналысатын жас таланттарға бөлінетін қаржылық қолдау қалай өсті?,бір жарым есеге көбейді,evidence_not_in_corpus_passage
akorda_008_p03,factoid,"Елімізде әр істің, яғни кәсіптің шеберіне қандай құрмет көрсетілуі керек?",ерекше құрмет көрсетілуі керек,evidence_not_in_corpus_passage
akorda_008_p03,paraphrase,Өз ісінің мамандарына мемлекет пен қоғам тарапынан қандай көзқарас болуы тиіс?,ерекше құрмет көрсетілуі керек,evidence_not_in_corpus_passage
akorda_008_p03,low_overlap,Білікті мамандарды бағалаудың талабы қандай деңгейде болуы қажет?,ерекше құрмет көрсетілуі керек,evidence_not_in_corpus_passage
akorda_008_p09,factoid,Депутаттардың жартысынан көбін сайлаушылар қалай сайлайтын болады?,тікелей өзі сайлайтын болады,evidence_not_in_corpus_passage
akorda_008_p09,paraphrase,Халық өкілдерінің басым бөлігі парламентке қандай жолмен өтеді?,тікелей өзі сайлайтын болады,evidence_not_in_corpus_passage
akorda_008_p09,low_overlap,Азаматтар заң шығарушы органның мүшелерін таңдау процесіне қалай қатысады?,тікелей өзі сайлайтын болады,evidence_not_in_corpus_passage
akorda_008_p11,factoid,"Өкінішке қарай, кейбір азаматтар жеке бас пайдасы үшін нені елемейді?",заң талаптарын елемейді,evidence_not_in_corpus_passage
akorda_008_p11,paraphrase,Қоғамдағы кейбір адамдар өз мүддесін ойлап қандай нормаларды бұзады?,заң талаптарын елемейді,evidence_not_in_corpus_passage
akorda_008_p11,low_overlap,Тәртіп пен жауапкершілік жетіспейтін тұлғалар пайдакүнемдікпен нені аяқасты етеді?,заң талаптарын елемейді,evidence_not_in_corpus_passage
akorda_008_p12,factoid,Ұлттық құрылтайдың Атырауда өткен отырысында қандай мәдениетті дамыту мәселесі талқыланды?,кітап оқу мәдениетін дамыту,evidence_not_in_corpus_passage
akorda_008_p12,paraphrase,Ел Президенті жастар арасында қандай пайдалы дағдыны арттыруға баса назар аударуды сұрады?,кітап оқу мәдениетін,evidence_not_in_corpus_passage
akorda_008_p12,low_overlap,Атырау қаласындағы жиында ұрпақтың дүниетанымын кеңейтетін қандай саланың дамуы сөз болды?,кітап оқу мәдениетін,evidence_not_in_corpus_passage
akorda_008_p15,factoid,"Жауапкершілік, әділдік, өзара құрмет және ынтымақ сияқты құндылықтар қай жерде берік орнығуы тиіс?",қоғамда берік орнығуы тиіс,evidence_not_in_corpus_passage
akorda_008_p15,paraphrase,Мемлекет пен халық арасындағы сенімді нығайтатын адами қасиеттер қай ортада үстемдік құруы қажет?,қоғамда берік орнығуы тиіс,evidence_not_in_corpus_passage
akorda_008_p15,low_overlap,Ұлттық құрылтай дәріптейтін моральдық-этикалық нормалар кімдердің арасында кеңінен таралуы керек?,қоғамда берік орнығуы тиіс,evidence_not_in_corpus_passage
akorda_008_p16,factoid,Түркістан төрінде қандай орденнің иегерлерін марапаттау дәстүрін жалғастыру керек?,"""Қожа Ахмет Ясауи"" орденінің",evidence_not_in_corpus_passage
akorda_008_p16,paraphrase,Киелі қалада ұлы ғұламаның атындағы қандай сыйлықты табыстауды үрдіске айналдыру ұсынылды?,"""Қожа Ахмет Ясауи"" орденінің",evidence_not_in_corpus_passage
akorda_008_p16,low_overlap,Түркі әлемінің рухани астанасында қай марапатты беру шарасын тұрақты өткізу қажет?,"""Қожа Ахмет Ясауи"" орденінің",evidence_not_in_corpus_passage
akorda_009_p01,factoid,Түркістан облысының қай саласында үлкен әлеует бар деп айтылды?,"ауыл шаруашылығы, өнеркәсіп және туризм салаларында",evidence_not_in_corpus_passage
akorda_009_p01,paraphrase,Қарқынды дамып келе жатқан өңірдің экономикалық драйверлері қандай бағыттар болуы мүмкін?,"ауыл шаруашылығы, өнеркәсіп және туризм салаларында",evidence_not_in_corpus_passage
akorda_009_p01,low_overlap,Аймақтың инфрақұрылымы мен тұрмыс сапасын арттыратын негізгі салалық басымдықтар қандай?,"ауыл шаруашылығы, өнеркәсіп және туризм салаларында",evidence_not_in_corpus_passage
akorda_009_p07,factoid,Президент мемлекеттің басты байлығы ретінде нені атады?,оның адамдары,evidence_not_in_corpus_passage
akorda_009_p07,paraphrase,"Ел басшысының пікірінше, Қазақстанның ең басты құндылығы не?",оның адамдары,evidence_not_in_corpus_passage
akorda_009_p07,low_overlap,Мемлекеттің әл-ауқаты мен дамуын қамтамасыз ететін негізгі ресурс ретінде не бағаланады?,оның адамдары,evidence_not_in_corpus_passage
akorda_009_p21,factoid,Қазақстан сыртқы саясатта қандай бағытты ұстанады?,"көпвекторлы, прагматикалық бағытты ұстанады",evidence_not_in_corpus_passage
akorda_009_p21,paraphrase,Еліміз халықаралық аренада қандай дипломатиялық ұстанымды басшылыққа алады?,"көпвекторлы, прагматикалық бағытты ұстанады",evidence_not_in_corpus_passage
akorda_009_p21,low_overlap,Бейбітшілікті жақтайтын мемлекет ретінде біздің жаһандық саясаттағы қағидатымыз қандай?,"көпвекторлы, прагматикалық бағытты ұстанады",evidence_not_in_corpus_passage
akorda_009_p27,factoid,Мемлекеттігіміздің мызғымас тірегі ретінде қандай қағидаттар аталды?,"Заң үстемдігі, адам құқықтарының қорғалуы және әлеуметтік әділеттілік",evidence_not_in_corpus_passage
akorda_009_p27,paraphrase,Еліміздің негізін құрайтын және Ата заңда бекітілген басты құндылықтар қандай?,"Заң үстемдігі, адам құқықтарының қорғалуы және әлеуметтік әділеттілік",evidence_not_in_corpus_passage
akorda_009_p27,low_overlap,Қоғамдағы өзара сыйластық пен құқықтық тәртіпті қамтамасыз ететін демократиялық тіректерді атаңыз?,"Заң үстемдігі, адам құқықтарының қорғалуы және әлеуметтік әділеттілік",evidence_not_in_corpus_passage
akorda_010_p01,factoid,Референдумның жоғары деңгейде өтуі азаматтарымыздың ненің өскенін көрсетеді?,"саяси мәдениетінің, жауапкершілігінің өскенін",evidence_not_in_corpus_passage
akorda_010_p01,paraphrase,Жалпыұлттық дауыс беру барысында халықтың қандай қасиеттері мен белсенділігі айқын байқалды?,"саяси мәдениетінің, жауапкершілігінің өскенін",evidence_not_in_corpus_passage
akorda_010_p01,low_overlap,Ата заңға өзгерістер енгізу науқаны қоғамның қандай деңгейге жеткенін дәлелдеді?,"саяси мәдениетінің, жауапкершілігінің өскенін көрсетеді",evidence_not_in_corpus_passage
akorda_010_p02,factoid,Бұл референдум еліміздің саяси жүйесін жаңғырту жолындағы қандай қадам болды?,шешуші қадам болды,evidence_not_in_corpus_passage
akorda_010_p02,paraphrase,Ата заңды өзгерту жөніндегі жалпыұлттық дауыс беру процесі басқару жүйесінде қандай рөл атқарды?,шешуші қадам болды,evidence_not_in_corpus_passage
akorda_010_p02,low_overlap,Мемлекеттің билік тармақтарын реформалау барысында бұл оқиғаның маңызы қалай бағаланды?,шешуші қадам болды,evidence_not_in_corpus_passage
akorda_010_p04,factoid,Жалпыұлттық коалиция мүшелері жаңа Конституцияның жобасына қатысты қандай жұмыстарға белсене қатысты?,"халыққа түсіндіру, талқылау жұмыстарына",evidence_not_in_corpus_passage
akorda_010_p04,paraphrase,Қоғамдық ұйымдар мен белсенділер Ата заңдағы өзгерістерді тұрғындарға жеткізу үшін не істеді?,"халыққа түсіндіру, талқылау жұмыстарына",evidence_not_in_corpus_passage
akorda_010_p04,low_overlap,Жаңа заңнамалық құжатты халық арасында кеңінен насихаттау және талдау үшін қандай іс-шаралар атқарылды?,"халыққа түсіндіру, талқылау жұмыстарына белсене қатысты",evidence_not_in_corpus_passage
akorda_010_p05,factoid,Заман талабына сай жаңғырған бас құжат мемлекеттігіміздің қандай тарихы бар екенін дәлелдеді?,сан ғасырлық тарихы бар екенін,evidence_not_in_corpus_passage
akorda_010_p05,paraphrase,Жаңартылған Конституция еліміздің тарихи тамырының қаншалықты тереңде жатқанын көрсетті?,сан ғасырлық тарихы бар екенін,evidence_not_in_corpus_passage
akorda_010_p05,low_overlap,Қазақстанның бас заңы ұлтымыздың мемлекеттілік дәстүрінің қай кезеңдерден бастау алатынын айғақтады?,сан ғасырлық тарихы бар екенін,evidence_not_in_corpus_passage
akorda_010_p06,factoid,Жаңа дәуірдегі Қазақстанның басты байлығы не?,"оның адамдары, олардың білімі, таланты және жасампаздық әлеуеті",evidence_not_in_corpus_passage
akorda_010_p06,paraphrase,Мемлекеттің болашағын қалыптастыратын негізгі ресурс ретінде не бағаланады?,"оның адамдары, олардың білімі, таланты және жасампаздық әлеуеті",evidence_not_in_corpus_passage
akorda_010_p06,low_overlap,Еліміздің дамуына серпін беретін азаматтарымыздың қандай қасиеттері мен қабілеттері атап өтілді?,"оның адамдары, олардың білімі, таланты және жасампаздық әлеуеті",evidence_not_in_corpus_passage
akorda_010_p07,factoid,Қазақстанның әлемдік экономикадағы бәсекеге қабілеттілігін арттыратын қандай стратегиялық басымдықтар аталды?,"Экономиканы әртараптандыру, инновацияларды енгізу және цифрлық технологияларды дамыту",evidence_not_in_corpus_passage
akorda_010_p07,paraphrase,"Мемлекетіміздің жаһандық сын-қатерлерге төтеп беріп, алға жылжуына көмектесетін негізгі бағыттар қандай?","Экономиканы әртараптандыру, инновацияларды енгізу және цифрлық технологияларды дамыту",evidence_not_in_corpus_passage
akorda_010_p07,low_overlap,Заманауи әлемде еліміздің ұстанымын нығайту үшін қандай экономикалық және технологиялық шаралар қабылдануда?,"Экономиканы әртараптандыру, инновацияларды енгізу және цифрлық технологияларды дамыту",evidence_not_in_corpus_passage
akorda_010_p09,factoid,Көп ұзамай Парламент қарауына қандай маңызды мәселелерге қатысты заң жобалары ұсынылады?,"Президент, Құрылтай, Халық Кеңесі, Астананың мәртебесі және басқа да",evidence_not_in_corpus_passage
akorda_011_p09,factoid,Былтыр Қазақстанның жалпы ішкі өнімі қандай көлемді құрады?,306 миллиард доллар болды,evidence_not_in_corpus_passage
akorda_011_p09,paraphrase,Өткен жылы еліміздің экономикалық даму көрсеткіші қандай санмен белгіленді?,306 миллиард доллар болды,evidence_not_in_corpus_passage
akorda_011_p09,low_overlap,Қазақстанның өткен жылғы экономикалық табысы қанша қаржылық межеге жетті?,306 миллиард доллар болды,evidence_not_in_corpus_passage
akorda_012_p14,paraphrase,Адам құқықтарын қорғау мақсатында жаңадан тағайындалатын жауапты тұлға қалай аталады?,уәкіл (отбасы омбудсмені),evidence_not_in_corpus_passage
